Year,Gov_Expenditure
1960,10.9591495841468
1961,12.0286048804568
1962,11.6001194813919
1963,11.4708805532615
1964,13.849176662943
1965,14.8428773408747
1966,13.7292601912407
1967,14.1299409359382
1968,15.2073160638914
1969,16.4346740904291
1970,16.2574651625747
1971,17.9802878105615
1972,17.6322083444061
1973,16.452237276557
1974,17.0359196756859
1975,18.325399013955
1976,17.4601025041277
1977,17.2052260874241
1978,19.51476535934
1979,19.1957771865076
1980,19.8033752623493
1981,18.5887512899897
1982,18.4330327782507
1983,18.4216543832185
1984,17.3818333396831
1985,17.4602922679533
1986,18.3195669682156
1987,18.568755632614
1988,18.4057892238787
1989,18.0566077928876
1990,18.642430895609
1991,16.7713456618015
1992,15.6822725897384
1993,14.4799654869237
1994,15.154926314268
1995,14.8429210451121
1996,15.1805673853703
1997,15.5361521874874
1998,16.2499609195116
1999,15.7532966549933
2000,15.0542922556179
2001,15.9729117514735
2002,17.0779999092115
2003,18.1313185754854
2004,17.860065964127
2005,17.3802115523848
2006,14.3469988040006
2007,14.6296114670377
2008,15.6739794237589
2009,13.5545947939366
2010,12.9529718175577
2011,12.6846420216244
2012,12.2713774212109
2013,11.8426259978213
2014,11.7424945888753
2015,12.7266800758884
2016,12.609768629814
2017,12.3350790178839
2018,12.3486893953272
2019,12.1707972873275
2020,12.4776599686236
2021,12.1468578016243
2022,12.2133041039933
2023,11.7769650802435
2024,11.1556008150154
2025,
