Year,Unemployment
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,2.78
1992,2.894
1993,2.979
1994,2.955
1995,2.848
1996,2.773
1997,2.818
1998,2.843
1999,2.884
2000,2.884
2001,2.876
2002,2.916
2003,2.869
2004,2.844
2005,2.739
2006,2.673
2007,2.642
2008,2.751
2009,2.816
2010,2.793
2011,2.699
2012,2.678
2013,2.762
2014,2.767
2015,2.762
2016,2.757
2017,3.542
2018,4.284
2019,5.014
2020,5.613
2021,5.693
2022,5.565
2023,5.409
2024,5.487
2025,5.449
